aset_id,opd_id,kategori_kib,kondisi,status,luas_m2,umur_aset,address,lat,lon,poi_kampus_n,poi_kampus_d,poi_sekolah_n,poi_sekolah_d,poi_mal_n,poi_mal_d,poi_pasar_n,poi_pasar_d,poi_rumah_sakit_n,poi_rumah_sakit_d,poi_puskesmas_n,poi_puskesmas_d,poi_stasiun_n,poi_stasiun_d,poi_kantor_n,poi_kantor_d,poi_tempat_budaya_n,poi_tempat_budaya_d,poi_total,y_jenis,y_kontribusi,y_permintaan
aset-0000,6,0,0,0,5568,23,"Perumahan Setiabudi No. 36, Kel. Merdeka Kec. Medan Barat, Kota Medan",3.594394,98.680859,3,0.5979,7,0.6013,6,0.6343,2,1.105,8,0.1793,1,1.7612,1,0.6497,1,0.6516,7,0.3828,36,2,1148600000,2
aset-0001,3,0,1,0,8602,16,"Jl. Putri Hijau No. 15, Kel. Aur Kec. Medan Baru, Kota Medan",3.555645,98.624431,0,3.6843,0,5.0,0,4.9975,0,4.3589,0,5.0,0,4.5026,0,5.0,0,5.0,0,5.0,0,5,11400000,1
aset-0002,4,0,0,1,10193,17,"Perumahan Cut Mutia No. 50, Kel. Jati Kec. Medan Sunggal, Kota Medan",3.583841,98.693631,3,1.4352,7,0.2549,5,1.199,2,0.2164,6,0.1168,0,3.4111,1,1.9687,1,2.3561,5,1.3342,30,2,648000000,2
aset-0003,3,2,0,1,1786,27,"Jl. Yos Sudarso No. 32, Kel. Merdeka Kec. Medan Timur, Kota Medan",3.617276,98.6669,2,1.8372,3,2.7104,2,1.0715,1,2.7374,3,1.7615,1,2.4859,0,3.2334,1,2.7398,1,2.591,14,2,6800000,1
aset-0004,1,2,0,0,665,12,"Jl. Katamso No. 32, Kel. Polonia Kec. Medan Sunggal, Kota Medan",3.569558,98.69438,2,2.9088,3,1.3852,6,1.9995,1,1.3919,2,1.5025,0,3.5923,1,2.9811,0,3.4659,4,1.3163,19,5,7800000,2
aset-0005,5,0,0,1,1381,17,"Lingkungan Marelan Raya No. 6, Kel. Bantan Kec. Medan Polonia, Kota Medan",3.636124,98.686765,1,0.7871,0,3.4636,1,2.0804,0,5.0,1,2.9745,0,5.0,0,5.0,0,4.8626,0,4.9758,3,1,2300000,1
aset-0006,4,0,0,2,5251,23,"Lingkungan Thamrin No. 40, Kel. Titi Kuning Kec. Medan Area, Kota Medan",3.598506,98.688221,3,0.3233,7,0.7225,6,0.6118,2,1.9105,8,0.8484,1,2.6063,1,1.5637,1,1.5504,6,1.3147,35,2,753000000,2
aset-0007,6,2,0,1,1050,11,"Gang Ahmad Yani No. 48, Kel. Gaharu Kec. Medan Baru, Kota Medan",3.588216,98.660383,3,1.953,5,1.3946,6,1.7227,1,1.2927,4,0.5197,1,0.9119,1,1.8547,1,1.745,7,0.6038,29,2,74900000,2
aset-0008,1,2,0,1,1298,21,"Jl. Yos Sudarso No. 42, Kel. Suka Maju Kec. Medan Selayang, Kota Medan",3.587321,98.687546,3,0.9244,7,0.4621,6,0.9389,2,0.8464,8,0.2924,1,2.6437,1,1.2077,1,1.578,6,0.6165,35,2,29500000,2
aset-0009,6,2,0,1,833,8,"Jl. KH Wahid Hasyim No. 8, Kel. Petisah Tengah Kec. Medan Johor, Kota Medan",3.623183,98.705775,1,2.9189,1,2.8247,0,3.5368,0,4.7937,1,2.0067,0,5.0,0,4.8797,0,4.711,0,4.6079,3,1,400000,1
